,level_0,PrimaryKey,DataType,Value,StatusCode,SourceTimeStamp,ServerTimeStamp,RobPos
92487,qc,DistanceY,0x000b,0.645161256194,0x00000000,2020-09-24T11:52:56.849Z,2020-09-24T11:52:56.849Z,1.0
92488,qc,DistanceAbs,0x000b,0.645161256194,0x00000000,2020-09-24T11:52:56.849Z,2020-09-24T11:52:56.849Z,1.0
92489,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T11:52:56.849Z,2020-09-24T11:52:56.849Z,1.0
92490,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:56.849Z,2020-09-24T11:52:56.849Z,1.0
92491,rp,529,0x0007,1051184980,0x00000000,2020-09-24T11:52:56.853Z,2020-09-24T11:52:56.853Z,1.0
92492,rp,528,0x0007,3188628040,0x00000000,2020-09-24T11:52:56.854Z,2020-09-24T11:52:56.854Z,1.0
92493,rp,527,0x0007,3198147538,0x00000000,2020-09-24T11:52:56.856Z,2020-09-24T11:52:56.856Z,1.0
92494,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:56.875Z,2020-09-24T11:52:56.875Z,1.0
92495,gate,Safe,0x0001,true,0x00000000,2020-09-24T11:52:57.103Z,2020-09-24T11:52:57.103Z,1.0
92496,gate,Speed,0x000b,0,0x00000000,2020-09-24T11:52:57.103Z,2020-09-24T11:52:57.103Z,1.0
92497,gate,Position,0x000b,0.3,0x00000000,2020-09-24T11:52:57.103Z,2020-09-24T11:52:57.103Z,1.0
92498,rp,528,0x0007,3188580906,0x00000000,2020-09-24T11:52:57.104Z,2020-09-24T11:52:57.104Z,1.0
92499,rp,529,0x0007,1051255441,0x00000000,2020-09-24T11:52:57.104Z,2020-09-24T11:52:57.104Z,0.0
92500,rp,527,0x0007,3198146986,0x00000000,2020-09-24T11:52:57.107Z,2020-09-24T11:52:57.107Z,0.0
92501,qc,DistanceY,0x000b,0.645161256194,0x00000000,2020-09-24T11:52:57.149Z,2020-09-24T11:52:57.149Z,0.0
92502,qc,DistanceX,0x000b,0.0,0x00000000,2020-09-24T11:52:57.149Z,2020-09-24T11:52:57.149Z,0.0
92503,qc,ResultCode,0x0006,0.0,0x00000000,2020-09-24T11:52:57.149Z,2020-09-24T11:52:57.149Z,0.0
92504,qc,DistanceAbs,0x000b,0.645161256194,0x00000000,2020-09-24T11:52:57.149Z,2020-09-24T11:52:57.149Z,0.0
92505,store,DiscSize,0x0003,2,0x00000000,2020-09-24T11:52:57.175Z,2020-09-24T11:52:57.175Z,0.0
92506,rp,529,0x0007,1051809883,0x00000000,2020-09-24T11:52:57.354Z,2020-09-24T11:52:57.354Z,0.0
92507,rp,528,0x0007,3188326301,0x00000000,2020-09-24T11:52:57.357Z,2020-09-24T11:52:57.357Z,0.0
